,count,mean,std,min,25%,50%,75%,max
FRT_LNGTH,48384.0,61.83196428571429,4.0123425282245,54.64,59.52,61.545,63.64,75.95
FWRCT_HGHT,48384.0,206.40678571428575,39.93925527174256,122.97,171.3,205.93,233.32,285.05
BLMNG_CLUSTER,48384.0,17.10363095238095,4.8271183307095304,6.88,13.252500000000001,17.28,21.33,24.14
FRST_TREE_CNT,48384.0,18.342261904761905,3.241125260026856,13.12,15.38,18.42,21.05,24.07
FRT_WT,48384.0,230.58392857142854,40.43038067939974,169.22,205.72,227.55,239.93,397.01
FRT_WDTH,48384.0,78.18226190476192,4.0388815499526265,68.17,75.57,78.17,80.94,86.17
GRTH_LNGTH,48384.0,208.862380952381,29.857742622799957,166.18,185.18,209.08499999999998,216.76,303.75
YIELD_CLUSTER,48384.0,10.046904761904761,4.557061434016694,2.13,6.342499999999999,9.75,13.85,18.1
LAST_FWRCT_NO,48384.0,17.250059523809526,4.469702283342477,7.32,13.6475,17.86,21.175,24.38
LEAF_LNGTH,48384.0,364.4672023809524,41.124798695245865,270.55,336.11,350.84,401.75,434.34
LEAF_CNT,48384.0,15.478452380952378,1.4768337484765122,12.32,14.62,15.82,16.53,17.73
LEAF_WDTH,48384.0,281.52124999999995,49.89856997724413,174.84,246.92,281.24,324.06,366.76
PLT_LNGTH,48384.0,5647.719404761905,1414.1106295556156,3025.64,4516.485,5779.46,6995.672500000001,7555.68
STEM_THNS,48384.0,8.727797619047621,1.6721475244657675,5.08,7.28,8.98,10.25,11.43
PFBS_NTRO_CBDX_CTRN,48384.0,417.5511460400132,84.54783178179797,179.67,351.67,402.0,474.0825,999.0
EXTN_TPRT,48384.0,9.895657862103175,8.578427651465082,-12.3,2.93,9.8,16.87,31.73
DWP_TPRT,48384.0,15.302369378306878,3.269530929428655,3.67,12.77,14.73,17.33,28.17
WNDRC,48384.0,186.6650028935185,103.2918720284303,0.0,132.0,179.0,283.0,355.5
ABSLT_HMDT,48384.0,13.37788070436508,3.0396452891779617,6.3,11.1,12.63,14.93,28.7
